purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.8600	0.5113	0.8473	0.0000	4.2000	0.0000
0.8700	0.5142	0.8475	0.0000	4.1500	0.0000
0.6500	1.4194	0.8475	0.0000	1.0800	0.0000
0.4200	0.9473	0.8477	0.0000	2.2400	0.0000
0.7000	1.4985	0.8482	0.0000	1.0400	0.0000
0.7800	0.5300	0.8483	0.0000	4.2500	0.0000
0.8100	0.5560	0.8495	0.0000	3.9500	0.0000
0.8400	1.7155	0.8498	0.0000	1.0000	0.0000
0.7100	0.5880	0.8507	0.0000	3.9500	0.0000
0.9200	0.2933	0.8509	0.0000	7.2000	0.0000
0.4100	0.5288	0.8511	0.0000	6.3000	0.0000
0.4400	0.9412	0.8512	0.0000	2.2600	0.0000
0.4500	1.0041	0.8520	0.0000	1.9600	0.0000
0.2700	0.7632	0.8521	0.0000	4.2500	0.0000
0.7700	0.5332	0.8530	0.0000	4.2500	0.0000
0.8600	0.5288	0.8533	0.0000	4.0500	0.0000
0.4700	0.5836	0.8537	0.0000	5.0000	0.0000
0.9000	0.3020	0.8538	0.0000	7.1000	0.0000
0.7000	0.5914	0.8549	0.0000	3.9500	0.0000
0.7900	0.5268	0.8551	0.0000	4.2500	0.0000
0.4400	1.2614	0.8552	0.0000	1.0400	0.0000
0.2700	0.7554	0.8555	0.0000	4.3500	0.0000
0.4700	1.2927	0.8576	0.0000	1.0200	0.0000
0.3600	0.8244	0.8577	0.0000	3.1500	0.0000
0.8500	1.7305	0.8579	0.0000	1.0000	0.0000
0.5600	0.5248	0.8579	0.0000	5.2000	0.0000
0.6900	0.5948	0.8581	0.0000	3.9500	0.0000
0.8400	0.5408	0.8582	0.0000	4.0000	0.0000
0.5200	1.3446	0.8586	0.0000	1.0000	0.0000
0.7600	0.5364	0.8594	0.0000	4.2500	0.0000
0.4500	0.5862	0.8602	0.0000	5.1000	0.0000
0.4700	0.9590	0.8605	0.0000	2.1600	0.0000
0.3500	0.5793	0.8610	0.0000	6.1000	0.0000
0.8200	0.5529	0.8610	0.0000	3.9500	0.0000
0.9100	0.2956	0.8617	0.0000	7.2000	0.0000
0.3300	0.8138	0.8618	0.0000	3.3500	0.0000
0.3500	0.8406	0.8620	0.0000	3.0500	0.0000
0.5100	0.5637	0.8631	0.0000	5.0000	0.0000
0.5500	0.5216	0.8637	0.0000	5.3000	0.0000
0.8900	0.3043	0.8643	0.0000	7.1000	0.0000
0.8600	1.7456	0.8645	0.0000	1.0000	0.0000
0.6300	1.3530	0.8648	0.0000	1.1600	0.0000
0.4100	0.9910	0.8652	0.0000	2.0200	0.0000
0.4400	1.0038	0.8652	0.0000	1.9600	0.0000
0.3200	0.5338	0.8659	0.0000	7.4000	0.0000
0.7500	0.5397	0.8663	0.0000	4.2500	0.0000
0.4600	0.9950	0.8669	0.0000	2.0000	0.0000
0.4700	0.9633	0.8672	0.0000	2.1400	0.0000
